"endTime","artistName","trackName","msPlayed","segPlayed","minPlayed","mesAño"
2019-01-19 21:47:00,"Los Fabulosos Cadillacs","Matador - Remasterizado 2008",2577,2.577,0.04,"enero 19"
2019-01-19 21:47:00,"Metallica","Master Of Puppets",0,0,0,"enero 19"
2019-01-19 21:47:00,"Blur","Coffee and TV",1068,1.068,0.02,"enero 19"
2019-01-19 21:47:00,"Semisonic","Secret Smile",0,0,0,"enero 19"
2019-01-19 21:47:00,"Pulp","Common People",1353,1.353,0.02,"enero 19"
2019-01-19 21:47:00,"Guns N' Roses","Welcome To The Jungle",771,0.771,0.01,"enero 19"
2019-01-19 21:47:00,"Los Auténticos Decadentes","La Guitarra - Remasterized 2001",678,0.678,0.01,"enero 19"
2019-01-19 21:47:00,"Carlos Vives","La Gota Fría",215482,215.482,3.59,"enero 19"
2019-01-19 21:47:00,"Spice Girls","Wannabe",1145,1.145,0.02,"enero 19"
2019-01-19 21:47:00,"Los Fabulosos Cadillacs","Mal Bicho - Remasterizado 2008",1016,1.016,0.02,"enero 19"
2019-01-19 21:47:00,"Metallica","Whiskey In The Jar",354,0.354,0.01,"enero 19"
2019-01-19 21:47:00,"Morrissey","Suedehead - 2011 Remaster",0,0,0,"enero 19"
2019-01-19 21:47:00,"The Verve","Bitter Sweet Symphony",618,0.618,0.01,"enero 19"
2019-01-19 21:47:00,"Marilyn Manson","The Beautiful People",684,0.684,0.01,"enero 19"
2019-01-19 21:47:00,"Pixies","Where Is My Mind?",413,0.413,0.01,"enero 19"
2019-01-19 21:47:00,"Luis Miguel","La Incondicional",1325,1.325,0.02,"enero 19"
2019-01-19 21:47:00,"Soda Stereo","Zoom - Remasterizado 2007",1233,1.233,0.02,"enero 19"
2019-01-19 21:47:00,"The Cranberries","Linger",0,0,0,"enero 19"
2019-01-19 21:47:00,"Metallica","One",306,0.306,0.01,"enero 19"
2019-01-19 21:47:00,"Oasis","Wonderwall - Remastered",2364,2.364,0.04,"enero 19"
2019-01-19 21:47:00,"Aterciopelados","Bolero Falaz",267,0.267,0,"enero 19"
2019-01-19 21:47:00,"Gustavo Cerati","Te Llevo para Que Me Lleves",1302,1.302,0.02,"enero 19"
2019-01-19 21:47:00,"Lucybell","Cuando Respiro En Tu Boca",2230,2.23,0.04,"enero 19"
2019-01-19 21:52:00,"Jarabe De Palo","El lado oscuro",288053,288.053,4.8,"enero 19"
2019-01-19 22:09:00,"Victimas Del Doctor Cerebro","El Esqueleto",25306,25.306,0.42,"enero 19"
2019-01-20 03:15:00,"House Of Pain","Jump Around",2396,2.396,0.04,"enero 19"
2019-01-20 03:15:00,"Soda Stereo","Trátame Suavemente - Remasterizado 2007",3064,3.064,0.05,"enero 19"
2019-01-20 03:15:00,"Victimas Del Doctor Cerebro","El Esqueleto",2219,2.219,0.04,"enero 19"
2019-01-20 03:15:00,"Soda Stereo","En la Ciudad de la Furia - MTV Unplugged",3861,3.861,0.06,"enero 19"
2019-01-20 03:18:00,"La Gusana Ciega","Invasión Estelar",165884,165.884,2.76,"enero 19"
2019-01-20 03:19:00,"El Gran Silencio","Guacharaca Scratch",90048,90.048,1.5,"enero 19"
2019-01-20 03:25:00,"Oasis","Stand by Me",356600,356.6,5.94,"enero 19"
2019-01-20 03:30:00,"Los Enanitos Verdes","Luz De Dia",268842,268.842,4.48,"enero 19"
2019-01-20 03:47:00,"Jarabe De Palo","Depende",85507,85.507,1.43,"enero 19"
2019-01-20 23:55:00,"Musica para Concentrarse","Música De Estudio De Piano",1272,1.272,0.02,"enero 19"
2019-01-20 23:57:00,"Musica para Concentrarse","Música De Estudio Tranquilo",124646,124.646,2.08,"enero 19"
2019-01-21 01:34:00,"Katy Perry","The One That Got Away",227333,227.333,3.79,"enero 19"
2019-01-21 01:36:00,"Bunnies","OH.MY.GOSH - From ""Sing"" Original Motion Picture Soundtrack",83777,83.777,1.4,"enero 19"
2019-01-21 01:42:00,"Michael Jackson","Thriller",357266,357.266,5.95,"enero 19"
2019-01-21 01:44:00,"John Travolta","You're The One That I Want - From ""Grease"" Original Motion Picture Soundtrack",2312,2.312,0.04,"enero 19"
2019-01-21 01:44:00,"Ray Charles","Mess Around",160226,160.226,2.67,"enero 19"
2019-01-21 01:44:00,"Mon Laferte","Tu Falta De Querer",13855,13.855,0.23,"enero 19"
